facility_name,tier,latitude,longitude,collected_at,hour_of_day,day_of_week,is_weekend,is_holiday,traffic_delay_index,traffic_data_source,parking_pressure_score,calibration_status,baseline_mean,baseline_std,baseline_n,relative_availability_signal,availability_label
"Parking Spot (-1.2905, 36.8197)",tier1_cbd,-1.2905274,36.8196906,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.7575,0.17689450716929195,4,-1.1730155069281938,quieter_than_usual
"Parking Spot (-1.2903, 36.8205)",tier1_cbd,-1.290286,36.8204788,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.7575,0.17689450716929195,4,-1.1730155069281938,quieter_than_usual
"Parking Spot (-1.2901, 36.8206)",tier1_cbd,-1.2901412,36.8206117,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.7575,0.17689450716929195,4,-1.1730155069281938,quieter_than_usual
"Parking Spot (-1.2901, 36.8207)",tier1_cbd,-1.2901086,36.820685,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.7575,0.17689450716929195,4,-1.1730155069281938,quieter_than_usual
"Parking Spot (-1.3026, 36.8256)",tier2_other,-1.3025894,36.8256065,2026-08-26 10:11:38,10,2,0,0,3.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.7225000000000001,0.8805443392205377,4,1.4508071236149782,busier_than_usual
"Parking Spot (-1.3272, 36.8708)",tier2_other,-1.3271509,36.8708477,2026-08-26 10:11:38,10,2,0,0,1.38,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.3824999999999998,0.023629078131262953,4,-0.10580184237878788,typical
"Parking Spot (-1.3271, 36.8710)",tier2_other,-1.3271343,36.8709666,2026-08-26 10:11:38,10,2,0,0,1.38,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.3824999999999998,0.023629078131262953,4,-0.10580184237878788,typical
"Parking Spot (-1.3286, 36.8707)",tier2_other,-1.3285729,36.8707235,2026-08-26 10:11:38,10,2,0,0,1.38,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.376,0.025099800796022177,5,0.15936381457791987,typical
"Parking Spot (-1.3287, 36.8706)",tier2_other,-1.3287021,36.8705942,2026-08-26 10:11:38,10,2,0,0,1.38,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.376,0.025099800796022177,5,0.15936381457791987,typical
"Parking Spot (-1.3287, 36.8722)",tier2_other,-1.3286833,36.8722469,2026-08-26 10:11:38,10,2,0,0,1.38,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.376,0.025099800796022177,5,0.15936381457791987,typical
"Parking Spot (-1.3287, 36.8720)",tier2_other,-1.3287106,36.8719656,2026-08-26 10:11:38,10,2,0,0,1.38,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.376,0.025099800796022177,5,0.15936381457791987,typical
"Parking Spot (-1.3288, 36.8720)",tier2_other,-1.3288417,36.8719866,2026-08-26 10:11:38,10,2,0,0,1.38,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.376,0.025099800796022177,5,0.15936381457791987,typical
"Parking Spot (-1.3290, 36.8716)",tier2_other,-1.3289652,36.8716011,2026-08-26 10:11:38,10,2,0,0,1.38,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.376,0.025099800796022177,5,0.15936381457791987,typical
"Parking Spot (-1.2898, 36.8259)",tier2_other,-1.2898309,36.825937,2026-08-26 10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.0,0.0,5,,insufficient_history
"Parking Spot (-1.2885, 36.8270)",tier2_other,-1.2885149,36.8269544,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.988,0.4775667492612943,5,-0.9171492795038669,typical
"Parking Spot (-1.2885, 36.8271)",tier2_other,-1.2884948,36.8270553,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.988,0.4775667492612943,5,-0.9171492795038669,typical
"Parking Spot (-1.2871, 36.8264)",tier1_cbd,-1.287116,36.826355,2026-08-26 10:11:38,10,2,0,0,1.55,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.988,0.4775667492612943,5,-0.9171492795038669,typical
"Parking Spot (-1.2807, 36.8180)",tier1_cbd,-1.2806952,36.817958,2026-08-26 10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.0,0.0,5,,insufficient_history
"Parking Spot (-1.3247, 36.8486)",tier2_other,-1.324735,36.848583,2026-08-26 10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.0,0.0,5,,insufficient_history
"Parking Spot (-1.3250, 36.8487)",tier2_other,-1.3249583,36.8486633,2026-08-26 10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.0,0.0,5,,insufficient_history
"Parking Spot (-1.2893, 36.8268)",tier2_other,-1.289281,36.8267821,2026-08-26 10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.0,0.0,5,,insufficient_history
"Parking Spot (-1.2673, 36.8173)",tier2_other,-1.2673176,36.8173178,2026-08-26 10:11:38,10,2,0,0,1.0,tomtom_flow_api,,not_calibrated_insufficient_spotcheck_data,1.0,0.0,5,,insufficient_history
