osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access,facility_name_clean,category
369279690,Unnamed Parking,-1.31993782,36.846944300000004,surface,unknown,,24/7,public,"Parking Spot (-1.3199, 36.8469)",Off-Street / Dedicated Lot
1548466193,Unnamed Parking,-1.3249208,36.8496452625,surface,unknown,,24/7,public,"Parking Spot (-1.3249, 36.8496)",Off-Street / Dedicated Lot
1548466196,Unnamed Parking,-1.3246963,36.848567833333334,street_side,unknown,,24/7,public,"Parking Spot (-1.3247, 36.8486)",On-Street
1548466197,Unnamed Parking,-1.3249668666666667,36.84859611111111,street_side,unknown,,24/7,public,"Parking Spot (-1.3250, 36.8486)",On-Street
1548466198,Unnamed Parking,-1.3241301272727275,36.84861124545454,surface,unknown,,24/7,public,"Parking Spot (-1.3241, 36.8486)",Off-Street / Dedicated Lot
1549029426,Unnamed Parking,-1.3265058,36.84824091666667,street_side,unknown,,24/7,public,"Parking Spot (-1.3265, 36.8482)",On-Street
1550656747,Unnamed Parking,-1.3303984400000002,36.86405446,street_side,unknown,,24/7,public,"Parking Spot (-1.3304, 36.8641)",On-Street
1550656748,Unnamed Parking,-1.33025642,36.86587872,street_side,unknown,,24/7,public,"Parking Spot (-1.3303, 36.8659)",On-Street
1550656749,Unnamed Parking,-1.33026272,36.86509044,street_side,unknown,,24/7,public,"Parking Spot (-1.3303, 36.8651)",On-Street
1550656750,Unnamed Parking,-1.3301224400000002,36.86611276,street_side,unknown,,24/7,public,"Parking Spot (-1.3301, 36.8661)",On-Street
1550656751,Unnamed Parking,-1.3299770800000001,36.86715564,street_side,unknown,,24/7,public,"Parking Spot (-1.3300, 36.8672)",On-Street
1550656752,Unnamed Parking,-1.32984526,36.8681529,street_side,unknown,,24/7,public,"Parking Spot (-1.3298, 36.8682)",On-Street
1550656753,Unnamed Parking,-1.32952312,36.86923844,street_side,unknown,,24/7,public,"Parking Spot (-1.3295, 36.8692)",On-Street
1550656754,Unnamed Parking,-1.32950986,36.86929672,street_side,unknown,,24/7,public,"Parking Spot (-1.3295, 36.8693)",On-Street
1550656755,Unnamed Parking,-1.3287927857142858,36.86934777142857,surface,unknown,,24/7,public,"Parking Spot (-1.3288, 36.8693)",Off-Street / Dedicated Lot
1550657962,Unnamed Parking,-1.3305205199999999,36.863039119999996,surface,unknown,,24/7,public,"Parking Spot (-1.3305, 36.8630)",Off-Street / Dedicated Lot
1550657963,Unnamed Parking,-1.33027524,36.86272318,street_side,unknown,,24/7,public,"Parking Spot (-1.3303, 36.8627)",On-Street
1550657964,Unnamed Parking,-1.33007822,36.86335712,street_side,unknown,,24/7,public,"Parking Spot (-1.3301, 36.8634)",On-Street
1550657965,Unnamed Parking,-1.3298535399999998,36.8630918,street_side,unknown,,24/7,public,"Parking Spot (-1.3299, 36.8631)",On-Street
1550657967,Unnamed Parking,-1.3306382142857145,36.86226122857143,street_side,unknown,,24/7,public,"Parking Spot (-1.3306, 36.8623)",On-Street
1550657968,Unnamed Parking,-1.33045554,36.86269265999999,street_side,unknown,,24/7,public,"Parking Spot (-1.3305, 36.8627)",On-Street
1550660256,Unnamed Parking,-1.3308001399999998,36.86040696,street_side,unknown,,24/7,public,"Parking Spot (-1.3308, 36.8604)",On-Street
1550660257,Unnamed Parking,-1.3305420499999998,36.86000726666666,surface,unknown,,24/7,public,"Parking Spot (-1.3305, 36.8600)",Off-Street / Dedicated Lot
1550660258,Unnamed Parking,-1.3306897599999998,36.860700480000006,street_side,unknown,,24/7,public,"Parking Spot (-1.3307, 36.8607)",On-Street
1550660259,Unnamed Parking,-1.3297149000000001,36.86055572,surface,unknown,,24/7,public,"Parking Spot (-1.3297, 36.8606)",Off-Street / Dedicated Lot
6208217293,Kobil Parking,-1.3282874,36.8915057,surface,unknown,,24/7,public,Kobil Parking,Off-Street / Dedicated Lot
12886546503,Krona Park,-1.3355121,36.8918797,surface,unknown,,24/7,public,Krona Park,Off-Street / Dedicated Lot
369097325,Unnamed Parking,-1.32724011,36.873798150000006,surface,unknown,,24/7,public,"Parking Spot (-1.3272, 36.8738)",Off-Street / Dedicated Lot
1547764674,Unnamed Parking,-1.3271075800000003,36.87083512,street_side,unknown,,24/7,public,"Parking Spot (-1.3271, 36.8708)",On-Street
1547764675,Unnamed Parking,-1.3271152,36.87095924285713,street_side,unknown,,24/7,public,"Parking Spot (-1.3271, 36.8710)",On-Street
1547764676,Unnamed Parking,-1.3286431,36.870718350000004,street_side,unknown,,24/7,public,"Parking Spot (-1.3286, 36.8707)",On-Street
1547764677,Unnamed Parking,-1.328900327272727,36.87061672727272,street_side,unknown,,24/7,public,"Parking Spot (-1.3289, 36.8706)",On-Street
1547764678,Unnamed Parking,-1.3260074764705883,36.871218276470586,surface,unknown,,24/7,public,"Parking Spot (-1.3260, 36.8712)",Off-Street / Dedicated Lot
1547764679,Unnamed Parking,-1.3260294750000001,36.8722084375,surface,unknown,,24/7,public,"Parking Spot (-1.3260, 36.8722)",Off-Street / Dedicated Lot
1547764685,Unnamed Parking,-1.3281088714285711,36.87297168571428,surface,unknown,,24/7,public,"Parking Spot (-1.3281, 36.8730)",Off-Street / Dedicated Lot
1547764686,Unnamed Parking,-1.3286449599999999,36.872237659999996,street_side,unknown,,24/7,public,"Parking Spot (-1.3286, 36.8722)",On-Street
1547764687,Unnamed Parking,-1.32870146,36.871934960000004,street_side,unknown,,24/7,public,"Parking Spot (-1.3287, 36.8719)",On-Street
1547764688,Unnamed Parking,-1.32883882,36.871955660000005,street_side,unknown,,24/7,public,"Parking Spot (-1.3288, 36.8720)",On-Street
1547764689,Unnamed Parking,-1.3289791666666666,36.87149026666666,street_side,unknown,,24/7,public,"Parking Spot (-1.3290, 36.8715)",On-Street
1547764690,Unnamed Parking,-1.328992757142857,36.872848028571426,surface,unknown,,24/7,public,"Parking Spot (-1.3290, 36.8728)",Off-Street / Dedicated Lot
1550660821,Unnamed Parking,-1.32890294,36.870956320000005,street_side,unknown,,24/7,public,"Parking Spot (-1.3289, 36.8710)",On-Street
881593877,Unnamed Parking,-1.3074567437499998,36.760097887499995,surface,unknown,,24/7,public,"Parking Spot (-1.3075, 36.7601)",Off-Street / Dedicated Lot
1548561323,Unnamed Parking,-1.3053176199999998,36.752711160000004,surface,unknown,,24/7,public,"Parking Spot (-1.3053, 36.7527)",Off-Street / Dedicated Lot
612008431,Olympic Bus Terminus,-1.3126351,36.7778212,surface,unknown,,24/7,public,Olympic Bus Terminus,Off-Street / Dedicated Lot
612008499,Ayany Car Park,-1.3090339,36.7757579,surface,yes,,24/7,public,Ayany Car Park,Off-Street / Dedicated Lot
93707185,Unnamed Parking,-1.3038941555555552,36.75428361111111,surface,unknown,,24/7,public,"Parking Spot (-1.3039, 36.7543)",Off-Street / Dedicated Lot
95792724,Unnamed Parking,-1.2898871555555553,36.756677877777776,surface,unknown,,24/7,public,"Parking Spot (-1.2899, 36.7567)",Off-Street / Dedicated Lot
247896462,Unnamed Parking,-1.30010348,36.7546992,surface,unknown,,24/7,public,"Parking Spot (-1.3001, 36.7547)",Off-Street / Dedicated Lot
247896463,Unnamed Parking,-1.3000322600000003,36.75435678000001,surface,unknown,,24/7,public,"Parking Spot (-1.3000, 36.7544)",Off-Street / Dedicated Lot
247896464,Unnamed Parking,-1.30023292,36.75426922,surface,unknown,,24/7,public,"Parking Spot (-1.3002, 36.7543)",Off-Street / Dedicated Lot
247896465,Unnamed Parking,-1.30035926,36.75456938000001,surface,unknown,,24/7,public,"Parking Spot (-1.3004, 36.7546)",Off-Street / Dedicated Lot
345275446,The Junction Mall Parking,-1.2985103600000003,36.76237808,surface,yes,,24/7,public,The Junction Mall Parking,Off-Street / Dedicated Lot
345275450,Unnamed Parking,-1.2988039500000002,36.763028283333334,surface,unknown,,24/7,public,"Parking Spot (-1.2988, 36.7630)",Off-Street / Dedicated Lot
542978092,Junction Parking,-1.298199775,36.7638664375,surface,unknown,,24/7,yes,Junction Parking,Off-Street / Dedicated Lot
834182201,Unnamed Parking,-1.29829534,36.76174424,surface,unknown,,24/7,public,"Parking Spot (-1.2983, 36.7617)",Off-Street / Dedicated Lot
881601162,Unnamed Parking,-1.30185638,36.7622334,surface,unknown,,24/7,public,"Parking Spot (-1.3019, 36.7622)",Off-Street / Dedicated Lot
881601163,Unnamed Parking,-1.3010533199999998,36.762207599999996,surface,unknown,,24/7,public,"Parking Spot (-1.3011, 36.7622)",Off-Street / Dedicated Lot
881601164,Unnamed Parking,-1.30026414,36.76218434,surface,unknown,,24/7,public,"Parking Spot (-1.3003, 36.7622)",Off-Street / Dedicated Lot
996349646,Unnamed Parking,-1.2975793714285715,36.75636992857143,surface,unknown,,24/7,public,"Parking Spot (-1.2976, 36.7564)",Off-Street / Dedicated Lot
1147544484,Unnamed Parking,-1.29638415,36.763584200000004,street_side,unknown,,24/7,private,"Parking Spot (-1.2964, 36.7636)",On-Street
1147544485,Unnamed Parking,-1.2965419,36.76368969999999,surface,unknown,,24/7,private,"Parking Spot (-1.2965, 36.7637)",Off-Street / Dedicated Lot
1371631766,Unnamed Parking,-1.2963868105263159,36.75944514736843,surface,unknown,,24/7,public,"Parking Spot (-1.2964, 36.7594)",Off-Street / Dedicated Lot
1371631773,Unnamed Parking,-1.2967765583333335,36.760073858333335,surface,unknown,,24/7,public,"Parking Spot (-1.2968, 36.7601)",Off-Street / Dedicated Lot
1371631776,Unnamed Parking,-1.2960719299999999,36.76020311,surface,unknown,,24/7,public,"Parking Spot (-1.2961, 36.7602)",Off-Street / Dedicated Lot
94987859,Valley Arcade Parking,-1.2902327000000002,36.77010331999999,surface,no,,24/7,customers,Valley Arcade Parking,Off-Street / Dedicated Lot
94989506,Unnamed Parking,-1.2963971,36.77885078,surface,unknown,,24/7,public,"Parking Spot (-1.2964, 36.7789)",Off-Street / Dedicated Lot
95790687,Unnamed Parking,-1.3012703,36.779948985714285,surface,unknown,,24/7,public,"Parking Spot (-1.3013, 36.7799)",Off-Street / Dedicated Lot
239938280,Impala Club Parking Lot,-1.300811011111111,36.76792724444445,surface,unknown,,24/7,public,Impala Club Parking Lot,Off-Street / Dedicated Lot
242427750,Unnamed Parking,-1.30296232,36.7739696,surface,unknown,,24/7,private,"Parking Spot (-1.3030, 36.7740)",Off-Street / Dedicated Lot
513625452,Unnamed Parking,-1.29408102,36.77948098,surface,unknown,,24/7,public,"Parking Spot (-1.2941, 36.7795)",Off-Street / Dedicated Lot
554861654,Unnamed Parking,-1.2907654375000002,36.76973073749999,surface,unknown,,24/7,public,"Parking Spot (-1.2908, 36.7697)",Off-Street / Dedicated Lot
