osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access
61888007,Unnamed Parking,-1.2997581,36.7908809,surface,yes,,24/7,public
61888008,Unnamed Parking,-1.3000866,36.7912126,surface,no,,24/7,customers
77869529,Lavington Mall,-1.2799426,36.7701821,street_side,yes,,24/7,customers
78234233,Nairobi Hospital car park,-1.2958335,36.8057412,surface,unknown,,24/7,public
79594658,Unnamed Parking,-1.280718,36.8163339,surface,unknown,,24/7,public
80342068,Unnamed Parking,-1.2715071,36.8069475,surface,unknown,,24/7,public
80342108,Unnamed Parking,-1.2729217,36.8067839,surface,unknown,,24/7,public
80342423,Unnamed Parking,-1.273409,36.8046689,surface,unknown,,24/7,public
80345483,Unnamed Parking,-1.2736268,36.8067166,surface,unknown,,24/7,public
80345486,Unnamed Parking,-1.2742933,36.8075671,surface,unknown,,24/7,public
80345492,Unnamed Parking,-1.2737455,36.8058097,surface,unknown,,24/7,public
80497196,Unnamed Parking,-1.2717389,36.8037643,surface,unknown,,24/7,public
86218279,Unnamed Parking,-1.2792967,36.878822,surface,unknown,,24/7,public
87624845,Unnamed Parking,-1.3376015,36.7687775,surface,unknown,,24/7,public
87632732,Mamba Village,-1.3331845,36.7513495,surface,unknown,,24/7,customers
88389016,Unnamed Parking,-1.2853069,36.8260832,surface,unknown,,24/7,public
93707185,Unnamed Parking,-1.3036877,36.7545841,surface,unknown,,24/7,public
94517897,Stepping Stones kindergarten,-1.3313147,36.7514563,surface,unknown,,24/7,public
94983819,KAPS Parking Yaya Center,-1.2932014,36.7874457,surface,unknown,,24/7,public
94987859,Valley Arcade Parking,-1.2902686,36.7701818,surface,no,,24/7,customers
94989506,Unnamed Parking,-1.2964416,36.7788747,surface,unknown,,24/7,public
94990207,Unnamed Parking,-1.2931573,36.7880462,surface,unknown,,24/7,public
95061987,Unnamed Parking,-1.2661217,36.8477875,surface,unknown,,24/7,public
95122003,Unnamed Parking,-1.273786,36.8139905,surface,unknown,,24/7,public
95122015,Unnamed Parking,-1.273377,36.8156736,surface,unknown,,24/7,public
95122020,Unnamed Parking,-1.2747665,36.8158648,surface,unknown,,24/7,public
95636614,Unnamed Parking,-1.316453,36.8343404,surface,unknown,,24/7,customers
95780935,Albadir,-1.2657786,36.8488568,surface,unknown,,24/7,public
95790445,Unnamed Parking,-1.3002882,36.7871854,surface,unknown,,24/7,public
95790447,Unnamed Parking,-1.2997376,36.7894958,surface,yes,,24/7,public
95790687,Unnamed Parking,-1.3012952,36.78003,surface,unknown,,24/7,public
95791246,Unnamed Parking,-1.2666248,36.7855642,surface,unknown,,24/7,public
95792156,Holy Trinity Catholic Church Car Park,-1.2823063,36.780211,surface,unknown,,24/7,public
